"DWR French Records",,,,,,,,,,,,,
,,,,,,,,,,,,,
ROCHEFORT,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1871,January,February,March,April,May,June,July,August,September,October,November,December,
,,,,,,,,,,,,,
3,,,,,,,,,,,,754.8,3
4,,,,,,,,,,,,757.9,4
5,,,,,,,,,,,,758.3,5
6,,,,,,,,,,,,762.8,6
7,,,,,,,,,,,,764.6,7
8,,,,,,,,,,,,770.7,8
9,,,,,,,,,,,,769.5,9
10,,,,,,,,,,,,769.6,10
11,,,,,,,,,,,,769.9,11
12,,,,,,,,,,,,769.1,12
13,,,,,,,,,,,,767.9,13
14,,,,,,,,,,,,762.3,14
15,,,,,,,,,,,,763.5,15
16,,,,,,,,,,,,764.7,16
17,,,,,,,,,,,,761.9,17
18,,,,,,,,,,,,760.6,18
19,,,,,,,,,,,,757.6,19
20,,,,,,,,,,,,763.4,20
21,,,,,,,,,,,,766.7,21
22,,,,,,,,,,,,767.7,22
23,,,,,,,,,,,,772.1,23
24,,,,,,,,,,,,774.9,24
25,,,,,,,,,,,,776,25
26,,,,,,,,,,,,775.2,26
27,,,,,,,,,,,,771,27
28,,,,,,,,,,,,773,28
29,,,,,,,,,,,,773.1,29
30,,,,,,,,,,,,774.9,30
31,,,,,,,,,,,,769.8,31
