,800,1400,1800
1900/03/01,30.09,30.15,30.19
1900/03/02,30.34,30.38,30.33
1900/03/03,30.26,30.22,30.2
1900/03/04,30.18,30.17,30.14
1900/03/05,30.24,30.25,30.25
1900/03/06,30.3,30.3,30.28
1900/03/07,30.27,30.25,30.21
1900/03/08,30.16,30.08,30.07
1900/03/09,30.03,30.03,30.01
1900/03/10,30.07,30.02,30.02
1900/03/11,30.11,30.2,30.21
1900/03/12,30.44,30.67,30.55
1900/03/13,30.61,30.64,30.66
1900/03/14,30.75,30.71,30.65
1900/03/15,30.4,30.26,30.11
1900/03/16,29.7,29.67,29.65
1900/03/17,29.62,29.58,29.55
1900/03/18,29.25,29.23,29.2
1900/03/19,29,29.16,29.26
1900/03/20,29.45,29.46,29.43
1900/03/21,29.63,29.66,29.65
1900/03/22,29.48,29.47,29.5
1900/03/23,29.69,29.82,29.86
1900/03/24,29.96,29.97,29.94
1900/03/25,29.98,29.96,29.94
1900/03/26,29.72,29.73,29.74
1900/03/27,29.78,29.82,29.77
1900/03/28,29.65,29.7,29.79
1900/03/29,29.96,29.95,29.89
1900/03/30,29.95,30.06,30.13
1900/03/31,30.3,30.32,30.33
