,800,1400,1800
1900/01/01,29.64,29.64,29.64
1900/01/02,29.39,29.31,29.28
1900/01/03,29.21,29.35,29.42
1900/01/04,29.7,29.78,29.81
1900/01/05,29.93,29.94,29.96
1900/01/06,29.84,29.73,29.63
1900/01/07,29.96,30.09,30.16
1900/01/08,30.26,30.29,30.24
1900/01/09,30.26,30.3,30.32
1900/01/10,30.41,30.44,30.45
1900/01/11,30.48,30.45,30.41
1900/01/12,30.36,30.33,30.27
1900/01/13,30.11,29.98,29.89
1900/01/14,29.87,29.86,29.86
1900/01/15,29.58,29.59,29.62
1900/01/16,29.43,29.62,29.67
1900/01/17,29.63,29.65,29.71
1900/01/18,30.13,30.29,30.31
1900/01/19,30.2,30.14,30.11
1900/01/20,30.14,30.1,30.11
1900/01/21,30.1,30.07,29.99
1900/01/22,30.21,30.24,30.22
1900/01/23,30.21,30.18,30.13
1900/01/24,29.84,29.94,30.1
1900/01/25,30.44,30.62,30.05
1900/01/26,30.25,30.1,30.1
1900/01/27,29.87,29.71,29.66
1900/01/28,29.37,29.4,29.47
1900/01/29,29.85,29.89,29.87
1900/01/30,29.74,29.73,29.71
1900/01/31,29.75,29.72,29.72
