,800,1400,1800
1901/10/01,29.89,29.84,29.84
1901/10/02,29.84,29.96,30.01
1901/10/03,30.07,30.05,30
1901/10/04,30.05,30.12,30.15
1901/10/05,30.08,29.95,29.9
1901/10/06,29.72,29.63,29.67
1901/10/07,29.92,29.92,29.94
1901/10/08,29.83,29.82,29.82
1901/10/09,29.86,30.09,30.1
1901/10/10,30.17,30.02,30.19
1901/10/11,30.15,30.13,30.12
1901/10/12,30.03,30.06,30.07
1901/10/13,30.11,30.08,30.07
1901/10/14,29.9,29.83,29.78
1901/10/15,29.72,29.72,29.72
1901/10/16,29.52,29.49,29.44
1901/10/17,29.34,29.4,29.4
1901/10/18,29.22,29.37,29.41
1901/10/19,29.63,29.74,29.78
1901/10/20,29.84,29.85,29.84
1901/10/21,29.54,29.64,29.67
1901/10/22,29.76,29.83,29.89
1901/10/23,30.06,30.16,30.16
1901/10/24,30,30.06,30.09
1901/10/25,30.1,30.11,30.13
1901/10/26,30.1,30.23,30.28
1901/10/27,30.34,30.44,30.33
1901/10/28,30.24,30.13,30
1901/10/29,29.84,29.89,29.93
1901/10/30,30.08,30.11,30.13
1901/10/31,30.14,30.11,30.07
