Date,800,1400,1800
1,30.1,30.13,30.15
2,30.1,30.09,30.07
3,30,30.01,29.98
4,29.98,29.98,30.06
5,30.19,30.23,30.22
6,30.14,30.13,30.1
7,29.92,29.94,29.99
8,29.86,29.87,29.87
9,29.8,29.79,29.79
10,29.8,29.84,29.86
11,29.97,30,30.01
12,29.95,29.96,29.94
13,29.91,29.93,29.99
14,30.14,30.2,30.21
15,30.2,30.22,30.2
16,30.07,30.03,29.99
17,30.06,30.08,30.02
18,29.99,29.93,29.85
19,29.65,29.51,29.59
20,29.54,29.56,29.57
21,29.55,29.57,29.62
22,29.79,29.84,29.85
23,29.77,29.78,29.79
24,29.84,29.88,29.89
25,29.81,29.79,29.76
26,29.91,30.01,30.09
27,30.25,30.3,30.31
28,30.31,30.31,30.28
29,30.16,30.1,30.03
30,29.85,29.83,29.8
