Date,800,1400,1800
1,29.85,29.93,30
2,30.16,30.18,30.15
3,29.93,29.7,29.7
4,29.87,29.98,30.06
5,30.25,30.29,30.29
6,30.24,30.32,30.38
7,30.55,30.52,30.51
8,30.5,30.49,30.46
9,30.38,30.31,30.25
10,30.06,29.98,29.93
11,29.91,29.93,29.95
12,30.02,29.99,29.97
13,29.87,29.85,29.82
14,29.63,29.68,29.69
15,29.74,29.48,29.36
16,29.36,29.44,29.46
17,29.58,29.56,29.65
18,30.09,30.2,30.2
19,29.89,NODATA,NODATA
20,29.84,NODATA,NODATA
21,30.01,NODATA,NODATA
22,30.12,NODATA,NODATA
23,29.85,NODATA,29.85
24,29.86,29.89,29.9
25,29.89,29.93,29.92
26,29.94,29.91,29.89
27,30,30.04,30.06
28,30.03,29.99,29.97
29,30.1,30.17,30.19
30,30.33,30.34,30.32
31,30.23,30.15,30.12
