,800,1400,1800
1901/08/01,30.19,30.23,30.23
1901/08/02,30.28,30.34,30.35
1901/08/03,30.31,30.28,30.24
1901/08/04,30.08,30.06,30.07
1901/08/05,30.18,30.19,30.16
1901/08/06,29.96,29.99,30.01
1901/08/07,30.11,30.12,30.13
1901/08/08,30.11,30.14,30.09
1901/08/09,30,29.89,29.87
1901/08/10,29.71,29.79,29.83
1901/08/11,29.84,29.85,29.84
1901/08/12,29.82,29.9,29.94
1901/08/13,29.93,29.95,29.91
1901/08/14,29.82,29.78,29.8
1901/08/15,29.9,30.03,30.08
1901/08/16,30.18,30.2,30.18
1901/08/17,30.11,30.06,30.04
1901/08/18,29.97,30.02,30.06
1901/08/19,30.21,30.24,30.28
1901/08/20,30.3,30.3,30.33
1901/08/21,30.31,30.28,30.24
1901/08/22,30.27,30.29,30.27
1901/08/23,30.25,30.24,30.19
1901/08/24,30.11,30.09,30.03
1901/08/25,29.88,29.78,29.74
1901/08/26,29.72,29.84,29.98
1901/08/27,29.92,29.86,29.81
1901/08/28,30.05,30.11,30.11
1901/08/29,30.15,30.15,30.17
1901/08/30,30.11,30.11,30.11
1901/08/31,30.06,30.06,30.04
