,800,1400,1800
1901/02/01,29.79,29.8,29.8
1901/02/02,29.33,29.38,29.41
1901/02/03,29.53,29.55,29.55
1901/02/04,29.58,29.53,29.39
1901/02/05,29.53,29.64,29.73
1901/02/06,29.98,30.09,30.17
1901/02/07,30.32,30.34,30.34
1901/02/08,30.33,30.36,30.37
1901/02/09,30.4,30.43,30.43
1901/02/10,30.48,30.51,30.48
1901/02/11,30.35,30.32,30.27
1901/02/12,30.27,30.32,30.32
1901/02/13,30.29,30.32,30.31
1901/02/14,30.36,30.42,30.45
1901/02/15,30.53,30.58,30.58
1901/02/16,30.61,30.54,30.5
1901/02/17,30.38,30.35,30.33
1901/02/18,30.39,30.42,30.41
1901/02/19,30.29,30.26,30.22
1901/02/20,30.15,30.2,30.22
1901/02/21,30.28,30.29,30.3
1901/02/22,30.29,30.27,30.26
1901/02/23,30.23,30.27,30.28
1901/02/24,30.18,30.07,30.01
1901/02/25,29.75,29.64,29.54
1901/02/26,29.26,29.31,29.24
1901/02/27,29.41,29.53,29.54
1901/02/28,29.58,29.52,29.35
