,800,1400,1800
1900/11/01,29.74,29.94,30.05
1900/11/02,30.19,30.22,30.22
1900/11/03,30.21,30.18,30.15
1900/11/04,29.99,29.99,29.95
1900/11/05,29.77,29.62,29.55
1900/11/06,29.26,29.17,29.22
1900/11/07,29.64,29.76,29.83
1900/11/08,29.89,29.81,29.8
1900/11/09,29.77,29.79,29.74
1900/11/10,29.74,29.69,29.66
1900/11/11,29.91,29.99,29.99
1900/11/12,29.69,29.7,29.7
1900/11/13,29.65,29.64,29.64
1900/11/14,29.78,29.91,29.91
1900/11/15,29.49,29.44,29.37
1900/11/16,29.05,29.19,29.35
1900/11/17,29.8,29.95,30.04
1900/11/18,30.26,30.34,30.34
1900/11/19,30.32,30.24,30.22
1900/11/20,30.09,29.95,29.94
1900/11/21,29.83,29.8,29.76
1900/11/22,29.79,29.84,29.85
1900/11/23,29.58,29.45,29.46
1900/11/24,29.63,29.51,29.38
1900/11/25,29.5,29.68,29.71
1900/11/26,29.64,29.44,29.38
1900/11/27,29.51,29.28,29.18
1900/11/28,29.01,29.02,29.08
1900/11/29,29.21,29.28,29.35
1900/11/30,29.58,29.66,29.67
