,800,1400,1800
1900/04/01,30.14,30.06,30.03
1900/04/02,30.05,30.06,30.07
1900/04/03,29.85,29.66,29.45
1900/04/04,29.47,29.46,29.46
1900/04/05,29.69,29.83,29.9
1900/04/06,29.91,29.71,29.45
1900/04/07,29.71,29.73,29.82
1900/04/08,30.01,30.01,29.94
1900/04/09,29.78,29.8,29.83
1900/04/10,29.94,29.96,29.96
1900/04/11,29.79,29.62,29.64
1900/04/12,29.9,29.92,29.88
1900/04/13,29.95,30.09,30.14
1900/04/14,30.14,30.15,30.11
1900/04/15,30,30.07,30.12
1900/04/16,30.14,30.21,30.27
1900/04/17,30.38,30.36,30.34
1900/04/18,30.43,30.46,30.46
1900/04/19,30.45,30.45,30.45
1900/04/20,30.36,30.32,30.31
1900/04/21,30.29,30.36,30.36
1900/04/22,30.27,30.24,30.23
1900/04/23,30.16,30.12,30.08
1900/04/24,30.01,30,29.98
1900/04/25,29.96,29.99,30
1900/04/26,30.1,30.1,30.08
1900/04/27,30.01,30.02,30.05
1900/04/28,30.11,30.09,30.08
1900/04/29,29.97,29.93,29.91
1900/04/30,29.8,29.76,29.76
