,800,1400,1800
1900/06/01,30.16,30.24,30.19
1900/06/02,30.04,30.02,30.01
1900/06/03,29.98,30,29.99
1900/06/04,29.92,29.92,29.93
1900/06/05,29.94,29.98,30
1900/06/06,30.03,30.03,30.02
1900/06/07,29.94,29.94,29.95
1900/06/08,29.94,29.93,29.9
1900/06/09,29.81,29.79,29.78
1900/06/10,29.68,29.71,29.73
1900/06/11,29.76,29.79,29.73
1900/06/12,29.84,29.87,29.85
1900/06/13,29.86,29.92,30.01
1900/06/14,30.02,29.97,29.93
1900/06/15,29.93,29.98,30.04
1900/06/16,30.01,29.98,29.98
1900/06/17,30.09,30.15,30.15
1900/06/18,30.15,30.15,30.11
1900/06/19,29.91,29.84,29.81
1900/06/20,29.81,29.84,29.84
1900/06/21,29.63,29.67,29.78
1900/06/22,30,30.02,29.94
1900/06/23,29.95,30.06,30.09
1900/06/24,29.89,29.85,29.84
1900/06/25,29.75,29.86,29.95
1900/06/26,30.07,30.01,30.12
1900/06/27,30.08,30.09,30.08
1900/06/28,30.04,30.05,30.03
1900/06/29,29.95,29.9,29.85
1900/06/30,29.74,29.72,29.65
