,800,1400,1800
1900/12/01,29.53,29.52,29.52
1900/12/02,29.64,29.78,29.88
1900/12/03,29.81,29.66,29.63
1900/12/04,29.66,29.73,29.71
1900/12/05,29.54,29.56,29.58
1900/12/06,29.76,29.68,29.77
1900/12/07,30.09,30.15,30.13
1900/12/08,30.06,30.02,29.99
1900/12/09,30.04,30.18,30.21
1900/12/10,30.35,30.35,30.31
1900/12/11,30.11,30.11,30.07
1900/12/12,30.11,30.09,30.06
1900/12/13,30.03,30.15,30.23
1900/12/14,30.34,30.34,30.3
1900/12/15,30.16,30.27,30.35
1900/12/16,30.49,30.49,30.47
1900/12/17,30.25,30.18,30.06
1900/12/18,29.94,29.92,29.92
1900/12/19,30.14,30.17,30.08
1900/12/20,29.67,29.62,29.54
1900/12/21,29.81,29.88,29.89
1900/12/22,30.03,29.88,29.74
1900/12/23,29.89,29.82,29.8
1900/12/24,30.04,30.03,29.98
1900/12/25,29.85,29.76,29.69
1900/12/26,29.82,29.79,29.76
1900/12/27,29.42,29.46,29.2
1900/12/28,29.36,29.65,29.76
1900/12/29,29.64,29.67,29.72
1900/12/30,29.54,29.32,29.32
1900/12/31,29.74,29.94,30
