,800,1400,1800
1900/09/01,30.15,30.15,30.14
1900/09/02,30.02,30.13,30.18
1900/09/03,30.34,30.41,30.42
1900/09/04,30.42,30.39,30.36
1900/09/05,30.29,30.27,30.27
1900/09/06,30.18,30.17,30.15
1900/09/07,30.04,30.02,30.02
1900/09/08,30.04,30.08,30.09
1900/09/09,30.11,30.12,30.14
1900/09/10,30.16,30.23,30.28
1900/09/11,30.42,30.42,30.45
1900/09/12,30.48,30.47,30.44
1900/09/13,30.39,30.34,30.33
1900/09/14,30.25,30.21,30.16
1900/09/15,30.07,30.04,30.03
1900/09/16,30.04,30.07,30.11
1900/09/17,30.11,30.05,30
1900/09/18,29.94,30.04,30.09
1900/09/19,30.2,30.25,30.29
1900/09/20,30.34,30.36,30.35
1900/09/21,30.37,30.37,30.34
1900/09/22,30.29,30.28,30.26
1900/09/23,30.17,30.06,29.99
1900/09/24,29.76,29.86,29.91
1900/09/25,30.05,30.11,30.17
1900/09/26,30.13,30.05,29.93
1900/09/27,29.65,29.61,29.6
1900/09/28,29.68,29.79,29.85
1900/09/29,29.9,29.86,29.84
1900/09/30,29.65,29.7,29.77
